,Store,Category,Item Type,Name (on Website),Gender,Price
150,"The Children's
Place",Kids,Children's Jeans,Bootcut Jeans - Dust,M,19.5
151,"The Children's
Place",Kids,Children's Shirts,Long Sleeve Photo-Real Graphic Tunic,F,16.95
152,"The Children's
Place",Kids,Children's Shirts,Long Sleeve Striped Crew Tee,M,14.95
153,"The Children's
Place",Kids,Children's Shirts,Uniform Short Sleeve Classic Polo,F,12.95
154,"The Children's
Place",Kids,Children's Shirts,Short-Sleeved Uniform Polo,M,10.95
155,"The Children's
Place",Kids,"Children's
Underwear",Days Of The Week Briefs 7-Pack,F,18.95
156,"The Children's
Place",Kids,"Children's
Underwear",Striped And Camo Print Briefs 7-Pack,M,18.95
157,"The Children's
Place",Kids,"Children's
Underwear",Briefs 3-Pack,F,6.95
158,"The Children's
Place",Kids,"Children's
Underwear",Briefs 3-Pack,M,6.95
159,"The Children's
Place",Kids,Onesie,Dotted Shirt & Jeggings Set,F,19.95
160,"The Children's
Place",Kids,Onesie,"Long Sleeve Faux Layer Bear Bodysuit &
Banded Knit Pants Set",M,19.95
161,"The Children's
Place",Kids,Onesie,Cat Overalls Set,F,39.95
162,"The Children's
Place",Kids,Onesie,Suspenders Shirt & Shortall Set,M,34.95
163,"The Children's
Place",Kids,Toddler Shoes,Twirl Slip-On Sneakers,F,19.95
164,"The Children's
Place",Kids,Toddler Shoes,Slip-On Printed Sneaker,M,22.95
167,"Babies ""R"" Us",Kids,Preschool Toys,Disney Frozen Ariel Body Board,F,16.99
168,"Babies ""R"" Us",Kids,Preschool Toys,"Lego Duplo Preschool Building Toy -
Treasure Attack",M,29.99
169,"Babies ""R"" Us",Kids,Preschool Toys,"Lego Duplo Preschool Building Toy - Horse
Stable",F,32.99
170,Kmart,Kids,Arts and Crafts,Step 2 2-In-1 Toy Box And Art Lid Pink,F,60.99
171,Kmart,Kids,Arts and Crafts,Step 2 2-In-1 Toy Box And Art Lid - Tan,M,59.99
172,Kmart,Kids,Arts and Crafts,Step 2 Easel For Two Pink,F,61.99
173,Kmart,Kids,Arts and Crafts,Step 2 Easel For Two,M,54.99
174,Kmart,Kids,Arts and Crafts,"Play-Doh Sweet Shoppe Cake Mountain
Playset",F,19.99
175,Kmart,Kids,Arts and Crafts,"Play-Doh Disney Star Wars Millennium
Falcon Featuring Can-Heads",M,19.99
176,Kmart,Kids,Arts and Crafts,"Play-Doh My Little Pony Rainbow Dash Style
Salon Playset",F,15.99
177,Kmart,Kids,Arts and Crafts,"Play-Doh Diggin' Rigs Tonka Chuck 'N
Friends Grinding Gravel Yard Set",M,12.99
178,Kmart,Kids,Backpacks,Disney Frozen Girl's Backpack - Elsa,F,11.98
179,Kmart,Kids,Backpacks,Disney Avengers Boy's Backpack,M,9.98
180,Kmart,Kids,Backpacks,"Light Up Girls Backpack (Animal Print) - 16""",F,19.99
181,Kmart,Kids,Backpacks,"""Bright Lights"" Light-Up Boys Skater
Backpack",M,19.99
182,Kmart,Kids,Backpacks,"Disney Frozen Girl's Backpack & Lunch Bag
- Anna & Elsa",F,32.0
183,Kmart,Kids,Backpacks,"Disney Ultimate Spider-Man Web-Warriors
Boy's Backpack & Lunch Bag",M,32.0
184,Kmart,Kids,Bikes & Scooters,Princess Cozy Trailer,F,33.99
185,Kmart,Kids,Bikes & Scooters,Little Tikes,M,32.99
186,Kmart,Kids,Bikes & Scooters,RazorTM Lil' Kick Scooter,F,44.99
187,Kmart,Kids,Bikes & Scooters,RazorTM Jr. Lil Kick Scooter - Blue,M,39.99
188,Kmart,Kids,Bikes & Scooters,RazorTM E300-S Sweet Pea,F,299.99
189,Kmart,Kids,Bikes & Scooters,RazorTM E300S Seated Electric Scooter,M,289.99
190,Kmart,Kids,Bikes & Scooters,Disney Princess Folding Scooter,F,42.99
191,Kmart,Kids,Bikes & Scooters,Cars Folding Scooter,M,44.99
192,Kmart,Kids,General Toys,My First Craftsman 43 Pc. Power Drill Set,M,14.99
193,Kmart,Kids,General Toys,"Aww T-Rex Paint And Motorized 3D Puzzle
Aw-Pnt-Rexg Girl Blue",F,14.99
194,Kmart,Kids,General Toys,"Aww T-Rex Paint And Motorized 3D Puzzle
Aw-Pnt-Rexb Boy Green",M,14.99
195,Kmart,Kids,General Toys,"Jada Toys Just Girls 1:16 2010 Chevy
Camaro Ss Remote Control Car",F,24.99
196,Kmart,Kids,General Toys,"Jada Toys Big Time Muscle 96967 2010
Chevy Camaro Ss Rc, Yellow",M,14.99
197,Kmart,Kids,General Toys,Just Kidz Deluxe Cash Register - Pink,F,15.0
198,Kmart,Kids,General Toys,Just Kidz Deluxe Boy's Cash Register - Blue,M,15.0
199,Kmart,Kids,General Toys,"Just Kidz Glamour Girl And Her Cool Wheels
- Blue Mustang Car",F,11.0
200,Kmart,Kids,General Toys,Just Kidz Battery Operated Fire Truck,M,10.0
201,Kmart,Kids,General Toys,"Jada Toys Just Girls Big Foot Remote
Control Jeep",F,29.99
202,Kmart,Kids,General Toys,"Jada Toys Jurassic World Remote Control
Jeep",M,29.99
203,Kmart,Kids,Preschool Toys,"Mickey Mouse Clubhouse Mickey - Handy
Helper Tool Box",M,12.99
204,Kmart,Kids,Preschool Toys,"Mickey Mouse Clubhouse Minnie's Winter
Bow-Tique",F,14.99
205,Target,Kids,Backpacks,"Disney Princess Rolling Backpack - Pink
(12"")",F,19.99
206,Target,Kids,Backpacks,"Disney Cars Rolling Backpack - Red (12"")",M,19.99
207,Target,Kids,Backpacks,Circo Kids Adventure Pack - Girl,F,16.99
208,Target,Kids,Backpacks,Circo Kids Adventure Print - Boy,M,16.99
209,Target,Kids,Backpacks,J World Daisy Rolling Backpack - Pink,F,49.99
210,Target,Kids,Backpacks,"J World School Bus Rolling Backpack -
Yellow",M,55.99
211,Target,Kids,Backpacks,"Wildkin Olive Kids Butterfly Garden Pack 'N
Snack Backpack",F,27.99
214,Target,Kids,Backpacks,Wildkin Olive Kids Pirates Pack 'N Snack,M,27.99
215,Target,Kids,Backpacks,Wildkin Olive Kids Birdie Sidekick Backpack,F,29.0
216,Target,Kids,Backpacks,Wildkin Blue Camo Sidekick Backpack,M,24.99
217,Target,Kids,Bikes & Scooters,Razor Berry Scooter - Pink/Purple,F,36.99
218,Target,Kids,Bikes & Scooters,Razor Berry Scooter - Teal/Orange,M,34.99
219,Target,Kids,Bikes & Scooters,"Radio Flyer Girls My 1st Scooter Sparkle -
Pink",F,49.99
220,Target,Kids,Bikes & Scooters,Radio Flyer My 1st Scooter Sport - Red,M,24.99
221,Target,Kids,Bikes & Scooters,"Girl's Classic Flyer Bike - Pink (12"")",F,109.99
222,Target,Kids,Bikes & Scooters,"Boy's Classic Flyer Bike - Red (12"")",M,105.99
223,Target,Kids,Bikes & Scooters,K20G Girls Bike,F,139.99
224,Target,Kids,Bikes & Scooters,K20 Boys Bike,M,138.99
225,Target,Kids,General Toys,"La Newborn 15"" Real Girl Pink Polka Dot",F,59.99
226,Target,Kids,General Toys,"La Newborn 15"" Real Boy With Brown Hair",M,57.99
227,Target,Kids,General Toys,Green Toys Dump Truck - Pink,F,20.99
228,Target,Kids,General Toys,Green Toys Dump Truck,M,21.99
229,Target,Kids,Helmets & Pads,Raskullz Unicorn Ride Alongz Toddler Helmet,F,27.99
230,Target,Kids,Helmets & Pads,"Raskullz Shark Attax Ride Alongz Toddler
Helmet",M,14.99
231,Target,Kids,Helmets & Pads,"Punisher Skateboards Neon Skateboard
Helmet Pink",F,39.99
232,Target,Kids,Helmets & Pads,"Punisher Skateboards Teddy Skateboard
Helmet Black",M,29.99
233,Target,Kids,Helmets & Pads,Frozen 3D Tiara Child Bike Helmet,F,24.99
234,Target,Kids,Helmets & Pads,Toddler Hlmt Spiderman Vp,M,18.99
235,Target,Kids,Helmets & Pads,Razor V17 Youth Helmet Gloss - Magenta,F,19.99
236,Target,Kids,Helmets & Pads,Razor Child Helmet - Green,M,19.99
237,Target,Kids,Preschool Toys,Fisher-Price Disney Princess Figure Pack,F,19.59
238,Target,Kids,Preschool Toys,"Fisher-Price® Little People Dc Super Friends
Exclusive Figure",M,19.99
241,Target,Kids,Preschool Toys,"Fisher-Price® Little People Happy Sounds
Home",F,19.99
242,Target,Kids,Preschool Toys,Fisher-Price Little People Fire Station Playset,M,17.99
243,Target,Kids,Preschool Toys,Lego Duplo Doc Mcstuffins Rosie 10605,F,19.99
244,Target,Kids,Preschool Toys,"Lego® Duplo® Super Heros SupermanTM
Rescue 10543",M,16.99
245,"Toys ""R"" Us",Kids,Arts and Crafts,"Melissa & Doug Reusable Sticker Pad -
Dress Up",F,4.99
246,"Toys ""R"" Us",Kids,Arts and Crafts,"Melissa & Doug Reusable Sticker Pad -
Habitats",M,4.99
247,"Toys ""R"" Us",Kids,Backpacks,Minnie 16 Inch Pilot Rolling Case,F,21.99
248,"Toys ""R"" Us",Kids,Backpacks,Star Wars Classic Pilot Suitcase,M,19.99
249,"Toys ""R"" Us",Kids,Backpacks,"Personalized Barney Glamour Pink
Backpack",F,29.99
250,"Toys ""R"" Us",Kids,Backpacks,"Personalized Barney Little Stars Blue
Backpack",M,29.99
251,"Toys ""R"" Us",Kids,Bikes & Scooters,Razor Jr. Kiddie Kick Scooter - Pink,F,34.99
252,"Toys ""R"" Us",Kids,Bikes & Scooters,Razor Jr. Kiddie Kick Scooter - Blue,M,32.99
253,"Toys ""R"" Us",Kids,Bikes & Scooters,"Razor Black Label Pink ""A"" Kick Scooter",F,74.98
254,"Toys ""R"" Us",Kids,Bikes & Scooters,Razor A Scooter - Black Label,M,69.99
255,"Toys ""R"" Us",Kids,Bikes & Scooters,Smartrike® Delight 3 In 1 Trike - Pink,F,84.99
256,"Toys ""R"" Us",Kids,Bikes & Scooters,Smartrike® Delight 3 In 1 Trike - Green,M,84.99
257,"Toys ""R"" Us",Kids,General Toys,Playmobil Musical Flower Tower With Twinkle,F,59.99
258,"Toys ""R"" Us",Kids,General Toys,Playmobil Pirate Fort With Ruby,M,59.99
259,"Toys ""R"" Us",Kids,General Toys,Playmobil Fairy Queen's Ship,F,37.99
260,"Toys ""R"" Us",Kids,General Toys,"Playmobil Skull And Bones Corsair Pirate
Ship",M,24.99
261,"Toys ""R"" Us",Kids,Helmets & Pads,Barbie Pad Set,F,19.99
262,"Toys ""R"" Us",Kids,Helmets & Pads,Cars 2 Pad Set,M,19.99
263,"Toys ""R"" Us",Kids,Helmets & Pads,Bell Sports Minnie Mouse Pad Set,F,19.99
264,"Toys ""R"" Us",Kids,Helmets & Pads,Bell Sports Spider-Man Pad Set,M,19.99
265,"Toys ""R"" Us",Kids,Helmets & Pads,Razor Daisy Pad Set,F,24.99
268,"Toys ""R"" Us",Kids,Helmets & Pads,Razor Youth Pro Pad Set,M,24.99
269,"Toys ""R"" Us",Kids,Helmets & Pads,Disney Princess Toddler Helmet,F,24.99
270,"Toys ""R"" Us",Kids,Helmets & Pads,Cars Toddler Helmet,M,24.99
271,"Toys ""R"" Us",Kids,Helmets & Pads,Minnie Mouse Toddler Helmet,F,24.99
272,"Toys ""R"" Us",Kids,Helmets & Pads,Mickey Mouse Toddler Bike Helmet,M,24.99
273,"Toys ""R"" Us",Kids,Helmets & Pads,Raskullz Peace Love Kitty Helmet,F,29.99
274,"Toys ""R"" Us",Kids,Helmets & Pads,Raskullz Fin Hawk Helmet,M,29.99
275,"Toys ""R"" Us",Kids,Preschool Toys,"Lego Duplo Sofia The First Royal Stable
(10594)",F,26.99
276,"Toys ""R"" Us",Kids,Preschool Toys,"Lego Duplo My First Construction Site
Building Set (10518)",M,25.99
281,"Abercrombie &
Fitch",Clothes,Dress Pants,A&F Skinny Chinos,F,58.0
282,"Abercrombie &
Fitch",Clothes,Dress Pants,A&F Skinny Chinos,M,78.0
283,"Abercrombie &
Fitch",Clothes,Dress Shirt,Classic Pocket Shirt,F,58.0
284,"Abercrombie &
Fitch",Clothes,Dress Shirt,Classic Fit Oxford Shirt,M,68.0
285,"Abercrombie &
Fitch",Clothes,Jeans,A&F Skinny Jeans,F,78.0
286,"Abercrombie &
Fitch",Clothes,Jeans,A&F Skinny Zip Fly Jeans,M,78.0
287,"Abercrombie &
Fitch",Clothes,Jeans,A&F Super Skinny Jeans,F,78.0
288,"Abercrombie &
Fitch",Clothes,Jeans,A&F Super Skinny Zip Fly Jeans,M,78.0
289,"Abercrombie &
Fitch",Clothes,Jeans,A&F Boot Jeans,F,78.0
290,"Abercrombie &
Fitch",Clothes,Jeans,A&F Boot Button Fly Jeans,M,78.0
291,"Abercrombie &
Fitch",Clothes,Shirt,Applique Logo Graphic Tee,F,34.0
292,"Abercrombie &
Fitch",Clothes,Shirt,Applique Logo Graphic Tee,M,30.0
293,"Abercrombie &
Fitch",Clothes,Shirt,Slim Long Sleeve Henley,F,28.0
294,"Abercrombie &
Fitch",Clothes,Shirt,Muscle Fit Pocket Henley,M,28.0
295,"Abercrombie &
Fitch",Clothes,Socks,Patterned Classic Socks,F,8.0
296,"Abercrombie &
Fitch",Clothes,Socks,A&F Classic Socks,M,12.0
297,"Abercrombie &
Fitch",Clothes,Socks,Ankle Socks Two-Pack,F,10.0
299,Aéropostale,Clothes,Dress Pants,Basic Pants,F,39.5
300,Aéropostale,Clothes,Dress Pants,Uniform Slim Straight Flat-Front Pants,M,44.5
301,Aéropostale,Clothes,Dress Shirt,Long Sleeve Solid Woven Shirt,F,44.5
302,Aéropostale,Clothes,Dress Shirt,Long Sleeve Solid Woven Shirt,M,49.5
303,Aéropostale,Clothes,Dress Shirt,Long Sleeve Solid Woven Shirt,F,44.5
306,Aéropostale,Clothes,Dress Shirt,Long Sleeve Oxford Woven Shirt,M,44.5
307,Aéropostale,Clothes,Jeans,Skinny Core Dark Wash Jean,F,39.5
